feedback_id,date,customer_segment,channel,product_area,category,sentiment,priority,requires_follow_up,feedback_text
FB-0023,2026-01-26,particulier,email,bezorging,beschadiging,negatief,hoog,true,"Mijn pakket kwam beschadigd aan en de doos was open."
FB-0024,2026-01-27,senior,telefoon,betaling,automatische incasso,neutraal,middel,false,"Ik wil graag een eenvoudige bevestiging per brief na een incasso."
FB-0025,2026-01-28,particulier,mobiele app,winkelwagen,bug,negatief,hoog,true,"Mijn winkelwagen werd leeg na het opnieuw openen van de app."
FB-0026,2026-01-29,zakelijk,portal,facturatie,overzicht,positief,laag,false,"Het nieuwe factuuroverzicht is duidelijk en bespaart ons tijd."
FB-0027,2026-01-30,student,webchat,korting,promoties,neutraal,laag,false,"De studentenkorting is fijn, maar de voorwaarden mogen duidelijker."
FB-0028,2026-01-31,particulier,email,klantenservice,oplossing,negatief,middel,true,"Ik kreeg een standaardantwoord dat mijn probleem niet oploste."
FB-0029,2026-02-01,particulier,mobiele app,zoeken,filters,positief,laag,false,"De nieuwe filters maken het makkelijker om snel het juiste product te vinden."
FB-0030,2026-02-02,zakelijk,email,rapportage,export,negatief,middel,true,"De CSV-export bevat dubbele regels en mist soms kolomnamen."
FB-0031,2026-02-03,particulier,telefoon,account,wachtwoord,neutraal,laag,false,"Mijn wachtwoord resetten lukte uiteindelijk, maar de stappen waren wat omslachtig."
FB-0032,2026-02-04,senior,webformulier,website,toegankelijkheid,positief,laag,false,"De nieuwe hulppagina met grotere knoppen is een verbetering."
FB-0033,2026-02-05,particulier,email,productinformatie,duidelijkheid,negatief,middel,false,"De productfoto's zijn mooi, maar de afmetingen staan niet duidelijk vermeld."
FB-0034,2026-02-06,zakelijk,portal,beveiliging,twee-factor,positief,middel,false,"Twee-factor-authenticatie geeft ons meer vertrouwen bij het beheren van accounts."
FB-0035,2026-02-07,student,mobiele app,notificaties,stabiliteit,negatief,laag,false,"Pushmeldingen komen soms dubbel binnen."
FB-0036,2026-02-08,particulier,webchat,bezorging,afspraak,positief,laag,false,"Het wijzigen van mijn bezorgafspraak ging verrassend makkelijk."
FB-0037,2026-02-09,zakelijk,email,contracten,prijs,negatief,hoog,true,"De prijsverhoging is niet vooraf duidelijk gecommuniceerd."
FB-0038,2026-02-10,particulier,mobiele app,performance,crash,negatief,hoog,true,"De app crasht telkens wanneer ik mijn bestelgeschiedenis open."
FB-0039,2026-02-11,senior,telefoon,klantenservice,geduld,positief,laag,false,"De medewerker nam de tijd en bleef geduldig toen ik iets niet begreep."
FB-0040,2026-02-12,particulier,email,retouren,status,neutraal,middel,false,"Ik zou graag tussentijdse statusupdates ontvangen tijdens de retourverwerking."
